Epoch Train_loss
0 0.25539340401478366
1 0.16594845800259353
2 0.1332352549752686
3 0.11644999406869465
4 0.10354910389393882
5 0.09586703642255524
6 0.08482824464112373
7 0.07986584544174502
8 0.0733196371644477
9 0.06878055539105608
10 0.06412419190557193
11 0.060886136552379684
12 0.058509866505491025
13 0.05492283945016825
14 0.05047543467605501
15 0.047815394474599274
16 0.043989701791854484
17 0.041293692633997854
18 0.04067543623694492
19 0.038081363009515916
20 0.03579407493570034
21 0.03445301794726693
22 0.03242085573770091
23 0.03227578787672537
24 0.02855476557786069
25 0.02682106071585149
